name,business_id,reviews/total,location/latitude,location/longitude,location/address,stars,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5
Quality Inn,iyTQbU_XdznZ48AzeQfbdg,3,33.306606,-111.945077,"255 N Kyrene Rd
Chandler, AZ 85226",3,Hotels & Travel,Event Planning & Services,Hotels,,,
Costco,FIQz9u8Cy7aTXfMQugUYvA,12,33.467156,-112.274404,"10000 W McDowell Rd
Avondale, AZ 85323",4.5,Department Stores,Fashion,Shopping,,,
"Goldenstein Marvin D, DDS",WImuwx-hNX3_bbIAAFh7zQ,3,33.63782,-111.996763,"16620 N 40th St
Ste H1
Phoenix, AZ 85032",3.5,Oral Surgeons,Health & Medical,Periodontists,Dentists,,
Celebrity Tanning,-Fv9yPpyBd2Ophih6b2mTw,7,33.503024,-112.047179,"4515 N 16th St
Ste 102
Phoenix, AZ 85016",4,Tanning,Beauty & Spas,,,,
Sole Sports Running Zone,EkJSw_x0XVo5ZTtFacRYiw,12,33.5373972,-111.9085377,"6941 N Hayden Rd
Ste B-4
Scottsdale, AZ 85250",5,Sporting Goods,Fashion,Shopping,Sports Wear,,
Urban Exchange,YDOmCwlf6bVjbdzTRiwDBg,9,33.6353186,-111.9221127,"16255 N Scottsdale Rd
Ste C-9
Scottsdale, AZ 85254",4.5,"Used, Vintage & Consignment",Fashion,Shopping,Discount Store,,
Deer Valley Rock Art Center,bfLg7K6yIRWMzb6eAu1o_A,10,33.4499,-112.0739,"3711 W Deer Valley Rd
Phoenix, AZ 85073",4,Active Life,Landmarks & Historical Buildings,Public Services & Government,Parks,,
Hyatt Place,1UdCdMWYrcXlYUNtwrDeTg,8,33.2920211,-111.7544923,"3275 S Market St
Gilbert, AZ 85297",4,Hotels & Travel,Event Planning & Services,Hotels,,,
Terry's Tire and Auto,NUR1pLEwUETAvcW_1rfGFw,4,33.46671,-111.994929,"1625 N 40th St
Phoenix, AZ 85008",4,Auto Repair,Automotive,,,,
Molly Maid of West Glendale/Avondale,A_TphVXkWl1XbRDIBA0cyg,3,33.534184,-112.174034,"5540 W Glendale Ave
Ste B102
Glendale, AZ 85301",4.5,Home Cleaning,Home Services,,,,
The Cheesecake Factory,78IaYCf9ktUep4UhhjXbTg,70,33.3022462,-111.897967,"3111 W Chandler Blvd
Suite 2100
Chandler, AZ 85226",3.5,Food,Desserts,American (Traditional),American (New),Restaurants,
Gerber Collision & Glass,XIqGTbrh8xGqx5avKKgSGQ,8,33.406546,-111.852939,"1015 West Broadway Street
Mesa, AZ 85210",4.5,Auto Repair,Automotive,Body Shops,Auto Glass Services,,
Courtyard Phoenix Chandler Fashion Center,NcrjhaaIZEVd8JnBfLRXyg,6,33.2896402,-111.8930411,"1100 South Price Road
Chandler, AZ 85286",4,Hotels & Travel,Event Planning & Services,Hotels,,,
Fuego Bistro,hfl62LX14YqNpG0g0Tj6_Q,258,33.5218465,-112.0648577,"713 E Palo Verde Rd
Phoenix, AZ 85014",4,Latin American,Restaurants,,,,
"J. Fritz Rumpf Design, LLC",L4J7ee1ANXKRV85f5EtJ8w,3,33.4923301,-111.9271891,"7146 E 1st St
Scottsdale, AZ 85251",5,Hair Salons,Beauty & Spas,,,,
Taco Bell,5UBAWhxukaPrc_0DalT-3w,6,33.477073,-111.986399,"2601 N 44th St
Phoenix, AZ 85008",3,Fast Food,Tex-Mex,Restaurants,,,
Harvest Buffet,M2JvjVYkIJMIuvTiO8La9g,7,32.97846,-112.04232,"15406 Maricopa Rd
Inside Harrah's Ak-Chin Casino Resort
Maricopa, AZ 85239",4,Buffets,Restaurants,,,,
United Beauty Supply,vNT11JYe1Lv7Bavqz0_CCg,3,33.5093244,-112.1182483,"2719 W Camelback Rd
Phoenix, AZ 85017",4.5,Shopping,Cosmetics & Beauty Supply,Beauty & Spas,,,
Scott's Training Systems,Wa74GOJZrNBTV2BrygXPxA,5,33.301457,-111.947804,"6100 W Gila Springs Pl
Ste 23
Chandler, AZ 85226",5,Active Life,Gyms,Trainers,Fitness & Instruction,,
Fry's Food & Drug Stores & Fry's Marketplace,5hNN7abwwQwmMh7c7rHi6A,15,33.5095361,-112.085784,"744 W Camelback Rd
Phoenix, AZ 85013",2,Food,Grocery,Shopping,Drugstores,,
Bicycles of Phoenix,pmHX7FRWdpizs6fBvaX1xw,3,33.598768,-111.97669,"4848 E Cactus Rd
Ste 120
Scottsdale, AZ 85254",3.5,Sporting Goods,Bikes,Shopping,,,
Paper Source,luu1XWmfqeX6sGwyBvkqSg,6,33.6252061,-111.9255091,"15323 North Scottsdale Rd
Ste 103
Scottsdale, AZ 85260",4.5,Cards & Stationery,Arts & Crafts,Flowers & Gifts,Shopping,Event Planning & Services,
Grotto Cafe,Qq90BiOx_FWRUDq6afvghw,3,33.8325285,-111.9409619,"6501 E Cave Creek Rd
Ste 8
Cave Creek, AZ 85331",5,Cafes,Restaurants,,,,
Sephora,98DT6eqywegPdiY8eOtt5Q,10,33.6249276,-111.9255187,"15279 N. Scottsdale Rd.
Scottsdale, AZ 85260",4.5,Shopping,Cosmetics & Beauty Supply,Beauty & Spas,,,
The Capital Grille,QdbZyl-LWFS54u93Vjd5SA,103,33.5102068,-112.0272041,"2502 E Camelback Rd
Phoenix, AZ 85016",4,Steakhouses,Restaurants,,,,
Banfield Pet Hospital,t4tTtcuMSsJRMP-yH7JRXw,3,33.639651,-112.215471,"7290 W Bell Rd
Glendale, AZ 85308",4.5,Veterinarians,Pets,,,,
Flight Deck Cafe,vjHkbRBdUwG8aHDXllz37A,8,33.3075024,-111.6700435,"6001 S Sossaman Road
Mesa, AZ 85212",3.5,Restaurants,,,,,
Aj Fairways Grill,Hj3iyldLJg4JcyelJPnQag,3,33.357997,-111.4677182,"6900 E. Hwy 60
Gold Canyon, AZ 85118",4,American (Traditional),Restaurants,,,,
Mabel's On Main,vwZ15OkVO6PemAe87k0M-Q,119,33.493181,-111.9297091,"7018 E Main St
Scottsdale, AZ 85251",4,Bars,American (New),Nightlife,Lounges,Restaurants,
Rack Shack BBQ,3ZVG1MSRuvheqZ4gOioQVw,4,33.4942179,-112.059748,"1019 E Indian School Rd
Phoenix, AZ 85014",3.5,Barbeque,Restaurants,,,,
East Valley Children's Center,ZtE1deRN-_4QtAXxxl53tg,6,33.394266,-111.888118,"3200 S George Drive
Tempe, AZ 85282",5,,,,,,
Hampton Inn & Suites,Tb323X_c541xgfA0IjvYXw,9,33.637173,-111.927315,"16620 North Scottsdale Rd
Scottsdale, AZ 85254",4,Swimming Pools,Venues & Event Spaces,Event Planning & Services,Active Life,Hotels & Travel,Hotels
China Nail Salon,vQQBk3jsTkbPfa-qGeF3rg,3,33.639896,-111.94439,"6245 E Bell Road
Scottsdale, AZ 85254",3.5,Beauty & Spas,Nail Salons,,,,
Fuzziwig's Candy Factory,4jaExIpQYRBzxqk9jaYlow,3,33.3055295,-111.9027999,"3499 W Chandler Blvd
Chandler, AZ 85226",4.5,Food,Specialty Food,Candy Stores,,,
Willow Creek Apartments,3VfXcTXNXc-lxx9i5kfuOA,4,33.409463,-111.899858,"2020 E Broadway Rd
Tempe, AZ 85282",2.5,Home Services,Real Estate,Apartments,,,
Fire Department,9DB48MHMahGgiMUa5Dgu1A,3,33.4683996,-112.290424,"1825 N 107th Ave
Avondale, AZ 85323",4.5,,,,,,
Old Chicago,_9h-jH3YOkAU9-2A-dy6YQ,43,33.384734,-111.857879,"1656 S Alma School Rd
Mesa, AZ 85210",3,American (Traditional),Pizza,Salad,Restaurants,,
Shauna Brown Fitness,C2FC_hsVG4rupRESeUnrcA,3,33.8333716,-111.9507042,"Cave Creek, AZ 85331",5,Active Life,Trainers,Fitness & Instruction,,,
Warner Nails,SBmbCfkqbG5KkFE8swls-Q,9,33.3358872,-111.8590672,"2050 N Alma School Rd
Chandler, AZ 85224",4,Beauty & Spas,Nail Salons,,,,
Freddy's Frozen Custard & Steakburgers,X-dpycbo5fy8AyoHCUCryA,41,33.3785426,-111.7872566,"2065 Baseline Rd
Gilbert, AZ 85234",4,Food,Ice Cream & Frozen Yogurt,Burgers,Fast Food,Restaurants,
Digestif,48GT-uIRnHp3rHvdRsgC_Q,56,33.499499,-111.927402,"7133 E Stetson Dr
Scottsdale, AZ 85250",3.5,Bars,Restaurants,Nightlife,Lounges,Italian,
12 West Main,GVYLTfQdYexeua_gAcxhIA,8,33.415189,-111.832119,"12 W Main St
Mesa, AZ 85201",4,Dance Clubs,Event Planning & Services,Venues & Event Spaces,Nightlife,,
Groggy's,RQ-Qsf5KJfd0v9_u5ssyvQ,8,33.4146848,-111.8792733,"2207 W Main Street
Mesa, AZ 85201",3.5,Nightlife,,,,,
New Vision Center For Spiritual Living,fRFmwq4Vi6JlrCqS7Ea25A,4,33.650535,-111.978054,"18010 N Tatum Blvd
Phoenix, AZ 85032",4.5,Churches,Religious Organizations,,,,
Banner Thunderbird Medical Center,y8J27W7MiTjsEGRG6qORRQ,4,33.609487,-112.181293,"5555 W Thunderbird Rd
Glendale, AZ 85306",3,Health & Medical,Hospitals,,,,
"Pediatric Dental Specialists, PC",ncEgmYNecgBORSFLS2x56A,3,33.365006,-111.736718,"2550 E Guadalupe Rd
Ste 101
Gilbert, AZ 85234",5,Pediatric Dentists,Health & Medical,Dentists,,,
Burlington Coat Factory Warehouse,ks-hzHZApm0jvsi9M7s9lg,4,33.5820362,-112.1191581,"2728 W Peoria Ave
Phoenix, AZ 85029",2.5,Department Stores,Fashion,Shopping,,,
Mill Avenue Farmer's Market,svxvY11GxtzPDzDef7igZw,6,33.4324361,-111.9343636,"Mill Avenue 6th Street Park
Tempe, AZ 85281",2.5,Food,Farmers Market,,,,
McDonald's Restaurants,Jt1tVmCN1jwnXc3sSULqTQ,3,33.6836554,-112.1080388,"2225 W Deer Valley Road
Phoenix, AZ 85027",3,Restaurants,,,,,
Halo Thrift Store,9oDcnuvKphBrHB3yrMbJfA,9,33.593133,-112.041208,"11649 N Cave Creek Rd
Ste D
Phoenix, AZ 85022",4,Thrift Stores,"Used, Vintage & Consignment",Fashion,Shopping,,
La Grande Orange Pizzeria,7SO_rX1F6rQEl-5s3wZxgQ,289,33.5024095,-111.9955012,"4410 N 40th St
Phoenix, AZ 85018",4.5,Pizza,Restaurants,,,,
ReStore,HlUL5hw9I0wUvFc-jDErkQ,4,33.3939979,-111.8744659,"1135 S Dobson
Mesa, AZ 85202",3,Hardware Stores,Shopping,Appliances,Home & Garden,Furniture Stores,
BevMo,f0y7I6oNPKdKNW4eQyZb3w,6,33.4644277,-112.3903445,"15405 W McDowell Rd
Goodyear, AZ 85935",3.5,Food,"Beer, Wine & Spirits",,,,
Bashas',OtRxxR2WSTQ2xpx46NE3_A,3,33.6082597,-111.7196207,"16605 E Palisades Blvd
Fountain Hills, AZ 85268",2.5,Food,Grocery,,,,
Sprouts Farmers Market,JqBy7Ijfmh46kBPQPG0pKw,12,33.3197359,-111.9823966,"4711 E Ray Rd
Phoenix, AZ 85044",4,Food,Grocery,,,,
Schreiner's Fine Sausage,XRBTHOXaJK_AJ2wy5mX_1A,26,33.489409,-112.06469,"3601 N 7th St
Phoenix, AZ 85014",4.5,Food,Specialty Food,Meat Shops,,,
Pumphouse II,G0upqP1T9xsAgbSFV_PDXQ,4,33.46625,-111.992038,"4132 E McDowell Rd
Phoenix, AZ 85008",3.5,Bars,Gay Bars,Nightlife,,,
Tanger Outlets,n4kQBw7XX1tSJMPhM5SyAQ,6,33.5341958,-112.2667095,"6800 N 95th Ave
Glendale, AZ 85305",2,Shopping,Outlet Stores,,,,
Montessori Educare,8yDfMGCH5HaKBxew7hCS1w,4,33.3063357,-112.0565579,"1244 E Chandler Blvd
Phoenix, AZ 85048",4.5,Elementary Schools,Education,Preschools,,,
Bryan Hamby,v9kvCYcSjMI7nYIcXwjunQ,4,33.615055,-111.901117,"8341 E Gelding Dr
Scottsdale, AZ 85260",5,Real Estate,Real Estate Services,Home Services,Real Estate Agents,,
WestWorld of Scottsdale,9gdQm_wucTIr57ffeT7aYA,5,33.6470119,-111.8925581,"16601 N Pima Road
Scottsdale, AZ 85260",4.5,Arts & Entertainment,Stadiums & Arenas,,,,
Grand Canal,golCXCS3w5H9LBp6uKItRA,4,33.5033652,-112.0738665,"W Minnezona Ave and N Central Ave
Phoenix, AZ 85012",4.5,Active Life,Parks,,,,
Autozone,loj-LzdcfSlCWUXRQEN7iA,8,33.6196375,-111.8977352,"14760 N Northsight Blvd
Scottsdale, AZ 85260",4.5,Automotive,Auto Parts & Supplies,,,,
Filiberto's Mexican Restaurant,fON48rwmABedlUu0DWVEiA,17,33.3637758,-111.9090874,"1845 E Guadalupe Rd
Tempe, AZ 85283",4,Mexican,Restaurants,,,,
Serrano's Mexican Food Restaurants,4jf5PMaxpcgA_fhirn5GgA,24,33.3680425,-111.7561849,"959 N Val Vista Dr
Gilbert, AZ 85234",3,Mexican,Restaurants,,,,
McDonald's,ugzBjxLS8wchZcASnHJO2g,3,33.581488,-112.133603,"3455 W Peoria Avenue
Phoenix, AZ 85051",3.5,Fast Food,Restaurants,,,,
Unicorn Balloon,ayjTrIEEbeFPnAqcjT98qg,6,33.6230412,-111.9197804,"15001 N 74th Street Suite F
Scottsdale, AZ 85260",4,Hotels & Travel,Tours,,,,
Red Bar,QL3vFMAsEHqfi1KGH-4igg,11,33.49447,-111.924226,"Mondrian Hotel Scottsdale
7353 E Indian School Rd
Scottsdale, AZ 85251",3,Bars,Nightlife,Lounges,,,
Asia,ihkTtwiy0DYxWF5gv3ACYQ,35,33.3791486,-111.805341,"1236 E Baseline Rd
Ste 102
Mesa, AZ 85204",4,Asian Fusion,Sushi Bars,Restaurants,,,
Blue Wasabi Sushi & Martini Bar,VYUfIfAlU1KuYGC6ITRY3A,96,33.3079837358,-111.7443012543,"2080 E Williams Field Rd
Gilbert, AZ 85296",3.5,Sushi Bars,Restaurants,,,,
Boris' Barber Shop,W5ePM9kFugbDM6ZRK2L2pg,4,33.5964053,-112.1325934,"3437 W Cactus Rd
Phoenix, AZ 85029",4,Barbers,Beauty & Spas,,,,
Bahama Bucks,jQHHbkVn-N2i6hezPIxqfA,6,33.3793261,-111.6002804,"1959 S Signal Butte Rd
Mesa, AZ 85209",4.5,Food,Desserts,Ice Cream & Frozen Yogurt,,,
Cheuvront,muCl5p-9ut1sY0aKeUeRhw,182,33.463308,-112.074519,"1326 N Central Ave
Phoenix, AZ 85004",3.5,Wine Bars,Bars,American (New),Nightlife,Restaurants,
Mr Goodcents Subs & Pastas,uJCH3sqVcqjOfLv3BB9E_w,11,33.6116901,-112.1648254,"4920 W Thunderbird Rd
Ste 101
Glendale, AZ 85306",4,Delis,Sandwiches,Restaurants,,,
Brambley Hedge Rabbit Rescue,VOjohMNB1BOMMxuWiTmh4Q,3,33.6262751,-112.0198194,"P.O. Box 54506
Phoenix, AZ 85078",5,Pet Services,Animal Shelters,Pets,,,
TJ Maxx,u_bUPjUr7GgdqYsVJo8Llw,11,33.5001109,-111.9175979,"4370 N Miller Rd
Scottsdale, AZ 85251",3.5,Women's Clothing,Department Stores,Fashion,Shopping,Men's Clothing,
Bead World,O7PaiUSz67pYmqSvb54WEA,7,33.5825219,-111.8926245,"8764 E Shea Blvd
Scottsdale, AZ 85260",3.5,Art Supplies,Shopping,Arts & Crafts,,,
Macy's,HS9zL2VJquqYi0UiIVvPqw,5,33.389939,-111.862402,"1455 W Southern Avenue
Mesa, AZ 85202",3,Department Stores,Fashion,Shopping,,,
Pink Taco,erBoatMp1TFi_NPxTigp6w,58,33.5019817,-111.9276185,"7135 E Camelback Rd
Scottsdale, AZ 85251",2.5,Mexican,Restaurants,,,,
Thrifty Car Rental,wTQP-4bqaMJDaKcUO-Hdow,3,33.598218,-112.167662,"5044 W Cactus Road
Glendale, AZ 85304",2.5,Hotels & Travel,Car Rental,,,,
CiCi's Pizza,IuYs9ys6bwhK-s2_sUKsbQ,10,33.4725826,-112.2208449,"2270 N 75th Ave
Phoenix, AZ 85035",3.5,Pizza,Restaurants,,,,
Papa Murphy's,E8uHpUKu1eRx4V5gug1TpA,4,33.450463,-112.394035,"15570 W Van Buren St
Goodyear, AZ 85338",4,Pizza,Restaurants,,,,
Persian Garden Cafe,VGhMTZyqmGmM4Lrn9i6yuQ,23,33.4804484,-112.0898778,"1335 W Thomas Rd
Phoenix, AZ 85013",3.5,Vegetarian,Persian/Iranian,Mediterranean,Restaurants,,
Kokopelli Mexican Grill,-kVXDEqGHOWKxQ3EhvFgVA,12,33.6187879,-111.8974059,"14747 N Northsight Blvd
Ste 116
Scottsdale, AZ 85260",3.5,Mexican,Restaurants,,,,
1 Obi Nail Spa,Kt6ZACjzxa7RbAWg9uOccA,6,33.2623109,-111.791267,"3020 S Gilbert Rd
Chandler, AZ 85286",2,Beauty & Spas,Nail Salons,,,,
The Flower Shoppe,WBN1mMLIJ2v7tKNLzMCaiQ,4,33.3637707,-111.9100618,"1825 E Guadalupe Road
Ste 101
Tempe, AZ 85283",5,Flowers & Gifts,Shopping,,,,
Power Road Farmers Market,qL954pD4Buq4fK0zN-ZgTw,7,33.3430928,-111.6873186,"4011 S Power Rd
Mesa, AZ 85212",4.5,Food,Grocery,Farmers Market,,,
Borders,644P7OVoMDP_9QBSICW5vQ,7,33.5986087,-111.9847734,"4555 E Cactus Rd
Ste 2
Phoenix, AZ 85032",3,"Books, Mags, Music & Video",Shopping,Bookstores,,,
ASU Surplus,s9-RFuC3dFuht771mvFimA,3,33.4291983,-111.8902622,"2325 E Rio Salado Pkwy
Tempe, AZ 85281",3.5,Thrift Stores,Shopping,,,,
Papa Murphys,wBM9MzNd6s-KDeRcRULJ5g,3,33.624662,-111.943525,"6339 E Greenway Rd
Scottsdale, AZ 85254",4,Pizza,Restaurants,,,,
Manuel's Mexican Restaurant & Cantina,0l9e2aBYZfogiSUyxJEL3Q,4,33.517438,-112.063844,"5509 N 7th St
Phoenix, AZ 85014",3.5,Mexican,Restaurants,,,,
The Ups Store,Uq7M30aJmt8t-4jdsZCZ9w,4,33.4074373,-111.9098058,"1739 E Broadway Road
Tempe, AZ 85282",2.5,Local Services,Couriers & Delivery Services,Notaries,Shipping Centers,,
Fletcher's Tire & Auto Service,Mq1-OIVM3ZhdHv2AOrYpPw,3,33.3777099,-111.7823475,"1535 N Burk St
Gilbert, AZ 85234",2.5,Tires,Automotive,Auto Repair,,,
Streets of New York,3FhHnU7Mq8KcyWiWKH0RzA,10,33.6260045,-111.9777989,"4757 E Greenway Road
Phoenix, AZ 85032",3,Pizza,Restaurants,,,,
Sassy Glasses,UMP4EbpIcKD4urk0qXbncg,20,33.538927,-112.048079,"7000 N 16th St
Ste 126
Phoenix, AZ 85020",4.5,Shopping,Eyewear & Opticians,,,,
Sunset Clothing,ics35glmd7JXtY3qrq3jxw,21,33.4217279,-111.9475238,"601 W University Dr
Tempe, AZ 85281",4,Fashion,Shopping,,,,
Ellaments Salon & Boutique,rftGOyvbSAMOBTJWGhTLgA,7,33.3776437,-112.1666063,"5030 W Baseline Rd
Ste 133
Laveen, AZ 85339",4,Hair Salons,Beauty & Spas,,,,
Tuning Gruppe,demKE9o-SJgEspJ6k8lTCw,5,33.3813867,-111.8188949,"557 E Juanita Ave
Ste 1
Mesa, AZ 85204",5,Auto Repair,Automotive,,,,
Pier 1 Imports,rSfq4d3eEcbMu6JQrNOaWw,4,33.4621435,-112.3583028,"1442 N Litchfield Road
Goodyear, AZ 85395",3.5,Shopping,Home & Garden,Furniture Stores,,,
Wildberri,K869zHqORZUhpbDOxsspuw,5,33.638291,-112.0684149,"401 E Bell Rd
Ste 23
Phoenix, AZ 85022",3,American (New),Restaurants,,,,
Sundance Restaurant & Gift Shop,6rTpGUMFopKHgOewhm5Mww,3,33.402553,-111.5293534,"1535 E Old West Hwy
Apache Junction, AZ 85219",2.5,,,,,,
Fox Sports Grill,XLaIL98cYVy7nRt1Yu78ug,11,33.5331399,-112.2581424,"9425 W Coyotes Blvd
Glendale, AZ 85305",3,Bars,Restaurants,American (Traditional),Sports Bars,Nightlife,
Canvas Salon,hieYpbOce65XtNiA6yCwBQ,3,33.3201757,-111.8977104,"3225 W Ray Rd
Ste 205
Chandler, AZ 85226",4.5,Hair Salons,Beauty & Spas,,,,
Shear Organic Hair Studio,4M9s2RT2KlpfzF4kbIMQsA,4,33.3356118,-111.826674,"930 E Warner Rd
Ste 3
Chandler, AZ 85225",5,Hair Salons,Hair Removal,Hair Stylists,Beauty & Spas,,
Bliss Frozen Yogurt,ZAhZFqC_bTVXmDlx0E0Wmg,7,33.4235796,-111.9392896,"699 S Mill Ave
Ste 107
Tempe, AZ 85281",4,Food,Ice Cream & Frozen Yogurt,,,,
O.H.S.O. Eatery + nanoBrewery,wNsmt1hF1uv3YvbwXZMAoQ,146,33.495018,-111.975898,"4900 E Indian School Rd
Phoenix, AZ 85018",4,Food,Breweries,American (New),Restaurants,,
West Maricopa Association of Realtors,wz3aHVA_eaI1tdIOzEuA3A,3,33.6526136,-112.2528345,"9001 W Union Hills Dr
Ste 8
Peoria, AZ 85382",5,Real Estate Services,Home Services,Real Estate,,,
Camden Copper Square,azUslwP4aD4EwN8J3QdnLQ,15,33.450833,-112.061974,"901 East Van Buren
Phoenix, AZ 85006",3,Home Services,Real Estate,Apartments,,,
Bark Avenue Pet Supply,JGaszk_Jm-iyxiIVPYdobg,10,33.4514058,-111.763916,"3109 E McKellips Rd
Ste 104
Mesa, AZ 85213",4,Pets,Pet Stores,,,,
Two Hippies Magic Mushroom Burgers,pfTwzep_4hRTX_jXoi38cw,122,33.495024,-112.063756,"802 E Indian School Rd
Phoenix, AZ 85073",3.5,Burgers,Restaurants,,,,
A Victory Inn and Suites,XNRpzSdkA-9YITQZTlP6iQ,9,33.6398085,-112.0959734,"1711 W Bell Rd
Phoenix, AZ 85023",2,Hotels & Travel,Event Planning & Services,Hotels,,,
Fry's Food and Drug,z39AlkoGYaVknZoQg9TSag,3,33.379155,-112.170192,"5140 W. Baseline
Laveen, AZ 85339",3.5,Food,Bakeries,Grocery,"Beer, Wine & Spirits",,
Gangplank,_bsTEMjThKNd8CfiHBX6wg,35,33.2997534,-111.8416714,"260 S Arizona Ave
Chandler, AZ 85225",5,Local Services,,,,,
Sas Fabrics By the Pound,nbO0X6SNrZWOoDQS3WQCPw,18,33.4945375,-112.0575964,"1111 E Indian School Rd
Phoenix, AZ 85014",4.5,Arts & Crafts,Shopping,Fabric Stores,,,
Kidstop Toys & Books,VLRmecRseHP8ZLljlp7CFw,16,33.583163,-111.931007,"6990 E Shea Blvd
Ste 103
Scottsdale, AZ 85254",4.5,Shopping,Toy Stores,,,,
Aspen Dental,9I2rm3qEHY-Q0-gg_t8L5Q,4,33.6402885,-112.0828421,"Bell & 7th
Phoenix, AZ 85003",2,Health & Medical,Dentists,,,,
The Handlebar Tempe,_Ne4sL68IW6lEXYvrnkt-w,34,33.4239019898,-111.9402873516,"680 Mill Ave
Tempe, AZ 85281",3.5,Food,"Beer, Wine & Spirits",Bars,Nightlife,,
Mafia Mike's Pizza,_Ex3OUT0CBJxmn7M_ihzjg,3,33.424008,-111.719639,"446 N. Higley Rd.
Mesa, AZ 85205",2,Pizza,Restaurants,,,,
Richard D's Barber Shop,TYGIfpFrYYrKXOPexst5xQ,3,33.49548,-112.1688163,"4105 N 51st Ave
Phoenix, AZ 85031",4.5,Barbers,Beauty & Spas,,,,
Chuck E Cheese's,NzI4pAPrjlCkwcLgjseDtA,8,33.3915713461,-111.6786335686,"7012 E Hampton Ave
Mesa, AZ 85209",3,Pizza,Restaurants,,,,
Mattress Firm,QjbiS4XFuW8BmXXRWprrRQ,3,33.320648,-111.970335,"1020 N 54th St
Chandler, AZ 85226",5,Mattresses,Shopping,Home & Garden,,,
Gemtime Watch & Jewelry Service Center,LjZhLtu4dr_cFZDudaUKQA,3,33.4810592,-111.9089035,"2942 N Hayden Rd
Scottsdale, AZ 85251",5,Local Services,Watch Repair,,,,
Great Clips,jNVnU8t7ydme5wKlfFV2yQ,3,33.3209897,-111.7898954,"2487 S Gilbert Rd
Gilbert, AZ 85296",3.5,Hair Salons,Beauty & Spas,,,,
The Fit Alterations 3,brHGmfRUZWNzIHc-KwsSCw,4,33.609993,-112.012829,"13607 N 32nd St
Ste 2
Phoenix, AZ 85032",5,Local Services,Sewing & Alterations,,,,
Mojo Yogurt,WfYQE-MZCQb_BOyW7lWh9Q,66,33.4329724,-111.9043028,"2000 E Rio Salado Pkwy
Tempe, AZ 85281",3.5,Food,Ice Cream & Frozen Yogurt,,,,
Forefathers Gourmet Cheesesteaks & Fries,RtwOc-n_RkiUuDGaNfCsNw,105,33.3351559,-111.9631173,"8707 S Priest Dr
Ste 101
Tempe, AZ 85284",4,Cheesesteaks,Sandwiches,Restaurants,,,
China Way Restaurant,k83LpHfy9j05POm4rxBVSA,11,33.35096,-111.858667,"3021 N Alma School Rd
Chandler, AZ 85224",4,Chinese,Restaurants,,,,
Bashas Art Gallery,1s8nmET77Bm7nXVp62kcSA,4,33.243555,-111.859284,"22402 S. Basha Rd
Chandler, AZ 85225",4.5,Arts & Entertainment,Art Galleries,Shopping,Local Flavor,,
Blanco Tacos And Tequilla,wUrTYqp9fHLJ8AR4lMxHGQ,9,33.4377465,-112.0114223,"Sky Harbor Blvd
Phoenix, AZ 85034",4,Mexican,Restaurants,,,,
Homme,yPpPJyAF8pciHnhTF-C38w,25,33.5096035,-112.0771705,"138 W Camelback Rd
Phoenix, AZ 85013",4,Bars,Dance Clubs,Nightlife,Lounges,,
Primp and Blow,HD_D2LTNTL6EXmvHF6x1qg,33,33.5019817,-111.9276185,"7135 E Camelback Rd
Ste 185
Scottsdale, AZ 85251",3,Hair Salons,Beauty & Spas,,,,
VCA Elliot Park Animal Hospital,8kBhZQF85npUz_PdP-qLXA,7,33.3501369,-111.912932,"1700 E Elliot Rd
Suite 19
Tempe, AZ 85284",3.5,Veterinarians,Pets,,,,
Padre's Modern Mexican Cuisine,6nseTZb6WrGWcithRThfag,140,33.5093453,-112.0588374,"1044 E Camelback Rd
Phoenix, AZ 85014",4,Bars,Latin American,Mexican,Nightlife,Restaurants,
Soroptimist Thrift Shop,fib0PyPJ2yJO7i8TLnuqXA,3,33.580097,-112.2902417,"10705 W Peoria Ave
Sun City, AZ 85351",4,Thrift Stores,Shopping,,,,
Kinh Do Hair Design,iIMg5AuG9sZYU14_FOsBQA,11,33.336307,-111.8763371,"2055 N Dobson Rd
Ste 2
Chandler, AZ 85224",4.5,Hair Salons,Beauty & Spas,,,,
Five Guys Burgers and Fries,8SvCSiGwtaGL2Z78tRSSlQ,8,33.4630140217,-112.357731073,"1507 N Litchfield Rd
Ste 102
Goodyear, AZ 85395",3.5,Burgers,Restaurants,,,,
Hole 'n One,VEVeXNBX_LUoHaHCJpxUMQ,6,33.6552412,-112.3532928,"13573 W Camino Del Sol
Sun City West, AZ 85375",2.5,Restaurants,,,,,
Tinder Box,3Ei8OHTnwJYeDjqTfQzxKg,8,33.3045733,-111.9842058,"4611 E Chandler Blvd
Phoenix, AZ 85044",3.5,Tobacco Shops,Shopping,,,,
Beautif-Eye Studios,_4kkqB-ZqnnD7u_Xjnmtgg,27,33.4994194,-111.9230318,"4332 N Wells Fargo Ave
Ste 200
Scottsdale, AZ 85251",4.5,Skin Care,Hair Removal,Beauty & Spas,,,
Goodwill of Central Arizona,Fo9anqUIF79EqzQm_noeMg,5,33.6384018,-112.3344951,"12751 W Bell Road
Surprise, AZ 85374",2.5,Local Services,Community Service/Non-Profit,,,,
Chaser's Nightclub,axNlxFkTSFqivM_k36k0BA,16,33.4577445,-111.9081615,"8005 E Roosevelt St
Scottsdale, AZ 85250",3.5,Bars,Music Venues,Arts & Entertainment,Dive Bars,Nightlife,Lounges
